group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
canonical_decode,large_above_4G,bijou64,10197.1,10364.3,10480.7,13600.9,15793.8,10325.8,739.2,10204.8,10487.1,183.8,0.0712,9936.6,16037.4
canonical_decode,large_above_4G,leb128,56709.7,57858.1,58110.0,59011.2,60212.1,56712.9,975.4,56523.5,56904.2,1435.6,0.0171,54747.2,60345.5
canonical_decode,large_above_4G,varu64,22662.3,23291.0,23440.0,24493.2,25666.9,22750.3,491.9,22662.3,22853.8,343.0,0.0215,21936.6,25797.3
canonical_decode,large_above_4G,vu128,13817.0,14144.5,14285.1,14356.5,14530.4,13818.4,265.7,13766.6,13870.3,407.2,0.0191,13226.8,14549.7
canonical_decode,large_above_4G,vu64,9238.5,10668.0,11778.3,12347.5,13603.7,9599.2,914.5,9428.8,9786.2,796.3,0.0948,8861.4,13743.3
canonical_decode,medium_64k_4G,bijou64,8949.3,9099.4,9118.9,9212.5,9219.1,8937.5,123.7,8913.7,8961.6,181.5,0.0138,8686.7,9219.8
canonical_decode,medium_64k_4G,leb128,27472.6,27697.7,27817.8,27935.6,27957.6,27444.0,267.1,27390.5,27494.5,249.2,0.0097,26499.7,27960.0
canonical_decode,medium_64k_4G,varu64,16404.8,16595.4,16648.6,17064.3,17143.8,16419.6,155.2,16390.8,16451.0,149.4,0.0094,16128.2,17152.7
canonical_decode,medium_64k_4G,vu128,14597.0,14765.4,14810.5,14906.8,15549.9,14627.1,151.3,14599.4,14658.3,172.2,0.0103,14323.7,15621.3
canonical_decode,medium_64k_4G,vu64,15426.1,15610.8,15631.3,15868.0,15968.4,15445.0,126.6,15421.1,15470.3,128.2,0.0082,15143.2,15979.6
canonical_decode,small_248_65535,bijou64,8926.8,9014.3,9035.6,9574.7,9580.5,8938.0,115.4,8917.3,8962.4,89.8,0.0128,8747.3,9581.1
canonical_decode,small_248_65535,leb128,22515.4,22854.9,23010.8,23452.4,25049.1,22546.3,414.6,22470.9,22632.4,403.3,0.0183,21693.7,25226.5
canonical_decode,small_248_65535,varu64,10534.3,10700.7,10754.8,10878.8,11049.5,10552.5,120.3,10529.7,10576.6,114.2,0.0113,10347.3,11068.4
canonical_decode,small_248_65535,vu128,20303.9,20515.5,20581.4,20686.3,20716.5,20300.3,201.0,20260.4,20338.8,210.6,0.0099,19533.2,20719.8
canonical_decode,small_248_65535,vu64,14985.5,15163.8,15189.4,15406.7,15599.3,14965.5,179.4,14930.4,15000.4,198.1,0.0119,14378.9,15620.7
canonical_decode,tier_boundaries,bijou64,11672.4,11775.3,11814.5,11858.6,11874.7,11670.3,85.8,11653.5,11686.9,119.1,0.0073,11393.5,11876.5
canonical_decode,tier_boundaries,leb128,26072.7,26495.9,26650.4,27146.8,27167.8,26116.0,330.2,26053.4,26182.1,429.4,0.0126,25466.2,27170.1
canonical_decode,tier_boundaries,varu64,19446.2,19805.3,19939.9,20152.2,20189.4,19503.5,211.5,19463.3,19545.9,252.6,0.0108,19140.3,20193.5
canonical_decode,tier_boundaries,vu128,15978.5,16127.8,16243.1,16450.9,16554.9,15984.2,153.4,15955.0,16014.5,168.1,0.0096,15625.8,16566.5
canonical_decode,tier_boundaries,vu64,12477.8,12660.8,12715.0,12810.9,13367.3,12499.1,145.4,12472.7,12529.3,121.2,0.0116,12223.8,13429.2
canonical_decode,tiny_0_247,bijou64,3838.6,3876.2,3896.7,3971.5,4141.5,3838.0,53.5,3828.2,3849.3,60.5,0.0139,3709.3,4160.3
canonical_decode,tiny_0_247,leb128,14953.1,15419.6,15715.3,16429.4,17187.0,15000.4,479.7,14909.2,15096.1,479.5,0.0318,13646.1,17271.2
canonical_decode,tiny_0_247,varu64,6320.4,6436.3,6479.7,6567.1,6805.9,6335.6,93.9,6318.0,6354.6,109.3,0.0148,6156.0,6832.4
canonical_decode,tiny_0_247,vu128,22379.7,22884.8,23038.3,23459.9,23889.3,22427.0,348.5,22361.1,22496.6,290.9,0.0155,21698.2,23937.0
canonical_decode,tiny_0_247,vu64,14407.3,15196.5,15274.9,16107.3,17442.7,14420.5,730.7,14278.9,14565.5,813.5,0.0504,12329.4,17591.1
canonical_decode,uniform_random,bijou64,10272.3,10672.1,10802.1,11203.1,11934.9,10356.3,278.7,10305.3,10414.2,258.7,0.0268,10041.7,12016.2
canonical_decode,uniform_random,leb128,56252.4,56769.3,57120.1,58807.2,58874.5,56210.0,670.9,56082.6,56344.4,804.5,0.0119,55013.2,58881.9
canonical_decode,uniform_random,varu64,22597.3,23167.5,23553.8,24752.6,25490.6,22705.3,490.4,22616.8,22808.2,332.8,0.0215,22078.3,25572.6
canonical_decode,uniform_random,vu128,13747.5,13920.9,14040.8,15390.0,15837.5,13787.7,317.1,13733.0,13856.5,209.7,0.0229,13294.1,15887.2
canonical_decode,uniform_random,vu64,8872.1,9120.8,9159.7,9269.7,9376.4,8894.7,140.0,8868.0,8922.6,116.3,0.0157,8656.6,9388.2
decode,large_above_4G,bijou64,10031.7,10123.1,10248.5,10669.3,10819.4,10060.7,124.2,10039.0,10087.3,52.5,0.0123,9921.6,10836.1
decode,large_above_4G,leb128,35885.5,36081.3,36279.4,36675.0,38209.0,35900.4,329.2,35843.5,35971.0,224.2,0.0091,35316.1,38379.5
decode,large_above_4G,varu64,22278.6,22386.2,22457.9,22504.8,22935.0,22280.5,120.3,22258.0,22305.2,92.6,0.0054,21961.7,22982.8
decode,large_above_4G,vu128,8673.3,8730.6,8771.3,8878.7,8883.7,8682.2,51.2,8672.6,8692.6,47.4,0.0059,8576.4,8884.3
decode,large_above_4G,vu64,8799.0,8843.9,8878.2,8969.3,9066.8,8800.9,57.0,8789.9,8812.1,44.2,0.0064,8584.4,9077.6
decode,medium_64k_4G,bijou64,8757.8,8814.7,8842.3,8874.9,9000.3,8756.3,57.5,8745.4,8767.7,65.1,0.0065,8625.4,9014.3
decode,medium_64k_4G,leb128,16083.1,16187.3,16215.3,16264.6,16309.7,16072.8,90.2,16055.2,16090.5,90.2,0.0056,15787.8,16314.7
decode,medium_64k_4G,varu64,16161.7,16838.0,17059.8,17313.3,17489.3,16297.1,330.5,16235.3,16363.1,330.1,0.0202,15884.4,17508.9
decode,medium_64k_4G,vu128,10703.1,10779.4,10796.1,10825.6,11296.7,10711.4,82.4,10697.1,10729.3,58.4,0.0077,10558.4,11349.0
decode,medium_64k_4G,vu64,15377.5,15454.3,15502.9,15676.7,16001.3,15382.4,95.3,15365.5,15402.5,66.2,0.0062,15201.0,16037.3
decode,small_248_65535,bijou64,9361.5,9583.5,9645.9,9702.4,9778.9,9354.4,187.1,9317.5,9390.3,190.1,0.0199,8851.3,9787.4
decode,small_248_65535,leb128,15257.1,15611.8,15694.5,15749.1,15786.8,15239.8,309.8,15178.7,15298.9,390.0,0.0202,14084.0,15791.0
decode,small_248_65535,varu64,10964.4,11198.9,11238.5,11313.5,11317.7,10913.1,270.5,10858.6,10964.4,253.1,0.0247,9999.6,11318.2
decode,small_248_65535,vu128,15146.3,15508.7,15562.2,15712.0,15716.6,15154.4,297.7,15095.4,15211.1,376.0,0.0195,13813.7,15717.1
decode,small_248_65535,vu64,15534.5,16050.4,16100.2,16131.9,16183.8,15518.3,388.0,15441.8,15592.5,512.4,0.0249,14270.8,16189.6
decode,tier_boundaries,bijou64,11580.8,11644.5,11671.9,11709.2,11709.5,11580.1,61.2,11567.7,11591.7,60.9,0.0053,11266.5,11709.6
decode,tier_boundaries,leb128,15412.4,15863.3,15921.6,16018.8,16054.5,15389.5,401.4,15309.3,15466.0,519.3,0.0260,14015.2,16058.5
decode,tier_boundaries,varu64,19197.7,19287.9,19309.1,19336.1,19366.7,19181.0,97.3,19161.5,19199.6,105.6,0.0050,18828.8,19370.1
decode,tier_boundaries,vu128,10825.8,11169.0,11228.1,11245.2,11284.6,10790.7,307.7,10730.4,10850.2,464.0,0.0284,9897.8,11289.0
decode,tier_boundaries,vu64,12243.8,12381.1,12530.2,12803.0,13194.6,12267.2,154.4,12239.6,12299.7,99.2,0.0125,11981.0,13238.2
decode,tiny_0_247,bijou64,3917.2,4025.9,4093.4,4125.1,4147.8,3906.4,108.3,3885.1,3927.6,141.0,0.0276,3625.2,4150.4
decode,tiny_0_247,leb128,12611.2,13265.0,13450.8,13903.2,14206.0,12608.1,567.7,12496.4,12718.3,581.2,0.0448,10881.9,14239.7
decode,tiny_0_247,varu64,6621.6,6820.8,6844.1,6895.9,6897.3,6602.9,183.7,6566.5,6638.1,224.4,0.0277,6014.7,6897.5
decode,tiny_0_247,vu128,22882.5,23425.9,23567.6,23641.1,23702.3,22812.8,558.0,22701.2,22918.5,709.6,0.0243,20804.0,23709.1
decode,tiny_0_247,vu64,14257.8,15322.4,15502.7,16180.7,16391.6,14370.7,746.1,14226.4,14517.6,951.6,0.0517,12535.9,16415.1
decode,uniform_random,bijou64,10163.5,10608.4,10765.1,11013.6,11036.6,10252.5,275.6,10199.6,10307.3,444.3,0.0267,9833.3,11039.2
decode,uniform_random,leb128,35527.2,35890.4,36497.5,37426.8,37610.3,35599.1,465.8,35514.1,35694.1,368.7,0.0130,34848.3,37630.7
decode,uniform_random,varu64,23936.5,24431.3,24506.2,24665.3,24822.0,23758.7,639.1,23631.1,23879.8,759.5,0.0268,21791.9,24839.4
decode,uniform_random,vu128,9306.7,9604.6,9657.0,9716.5,9765.7,9278.0,260.4,9226.3,9327.7,301.2,0.0279,8432.1,9771.2
decode,uniform_random,vu64,9315.7,9626.5,9695.0,9736.9,9761.0,9295.8,266.0,9243.4,9346.5,331.7,0.0285,8532.8,9763.7
encode,large_above_4G,bijou64,13048.0,13415.5,13471.6,13565.1,13565.8,13084.6,229.4,13040.0,13129.8,295.3,0.0174,12520.5,13565.8
encode,large_above_4G,leb128,33118.1,34206.4,34416.5,34761.5,35097.4,33243.1,674.3,33112.2,33376.2,958.8,0.0202,31837.2,35134.7
encode,large_above_4G,varu64,27985.5,28761.4,28954.1,29104.2,29214.2,28105.4,457.1,28016.8,28195.6,628.3,0.0162,27201.2,29226.4
encode,large_above_4G,vu128,11646.6,11926.4,12009.5,12117.9,12289.6,11678.7,179.5,11644.0,11714.4,235.7,0.0153,11300.3,12308.7
encode,large_above_4G,vu64,11257.1,11496.2,11518.0,11619.8,11626.0,11237.0,245.7,11187.5,11283.5,250.8,0.0218,10313.8,11626.7
encode,medium_64k_4G,bijou64,19249.3,19748.0,19843.6,20028.8,20188.0,19279.2,355.1,19209.2,19348.0,366.8,0.0183,18272.7,20205.6
