group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
canonical_decode,tiny_0_247,bijou64,6338.0,6598.5,6689.2,7278.1,7971.0,6411.1,215.3,6383.6,6442.7,124.2,0.0336,6230.2,8023.7
canonical_decode,tiny_0_247,leb128,13717.3,14892.1,15667.0,16428.9,18153.5,13959.7,840.6,13846.7,14078.7,678.1,0.0602,11741.8,18339.4
canonical_decode,tiny_0_247,varu64,7140.2,7333.4,7559.7,8094.9,8878.7,6865.3,516.1,6794.2,6937.1,892.7,0.0752,6182.6,9026.9
canonical_decode,tiny_0_247,vu128,21748.3,22295.8,22562.1,28248.9,28686.1,20858.7,1962.1,20588.8,21132.0,3037.2,0.0941,16072.1,28693.7
canonical_decode,tiny_0_247,vu64,12638.1,12915.4,13033.4,13324.2,13547.6,12688.0,191.6,12662.1,12715.1,233.7,0.0151,12419.4,13585.9
canonical_decode,small_248_65535,bijou64,13691.9,14698.3,15083.6,15718.7,16461.8,14021.5,584.2,13942.9,14103.7,929.8,0.0417,13428.4,16597.6
canonical_decode,small_248_65535,leb128,22532.9,23800.4,25803.6,28830.0,29219.3,22897.6,1250.9,22735.4,23079.6,519.8,0.0546,22009.6,29296.0
canonical_decode,small_248_65535,varu64,11393.3,11902.4,12172.5,14138.8,14418.7,11350.2,651.4,11263.0,11443.6,875.0,0.0574,10656.1,14421.7
canonical_decode,small_248_65535,vu128,19811.4,20450.7,20629.0,21186.4,23500.5,19610.5,814.0,19498.1,19723.2,921.3,0.0415,17892.0,24068.1
canonical_decode,small_248_65535,vu64,15721.6,16524.0,17218.6,20394.6,22724.0,15984.2,869.6,15875.0,16113.9,187.6,0.0544,15486.9,23207.4
canonical_decode,medium_64k_4G,bijou64,13625.3,14466.1,15010.2,16718.8,17258.2,13852.7,628.2,13770.7,13943.6,190.7,0.0453,13440.0,17313.1
canonical_decode,medium_64k_4G,leb128,30810.7,33169.7,36108.4,53048.8,53132.4,31759.5,3207.1,31356.1,32237.2,953.2,0.1010,30123.5,53134.6
canonical_decode,medium_64k_4G,varu64,17069.8,17451.9,17654.1,18565.5,18941.3,17006.8,498.4,16938.0,17076.3,339.1,0.0293,16025.4,18973.6
canonical_decode,medium_64k_4G,vu128,16681.5,17733.9,18561.0,20889.5,21619.9,16979.7,815.2,16874.5,17098.8,356.7,0.0480,16321.0,21787.0
canonical_decode,medium_64k_4G,vu64,19469.2,21145.5,22008.1,24568.9,25125.0,19838.9,977.5,19710.8,19981.4,328.4,0.0493,19154.3,25209.1
